Country Name,Country Code,2019
Aruba,ABW,
Afghanistan,AFG,507.1034319
Angola,AGO,2790.726615
Albania,ALB,5353.244856
Andorra,AND,40886.39116
Arab World,ARB,6584.740241
United Arab Emirates,ARE,43103.32306
Argentina,ARG,9912.281809
Armenia,ARM,4622.733493
American Samoa,ASM,
Antigua and Barbuda,ATG,17112.82113
Australia,AUS,55060.3261
Austria,AUT,50137.66278
Azerbaijan,AZE,4793.58702
Burundi,BDI,261.2474725
Belgium,BEL,46420.66377
Benin,BEN,1219.432672
Burkina Faso,BFA,786.8956313
Bangladesh,BGD,1855.739824
Bulgaria,BGR,9828.148515
Bahrain,BHR,23503.97713
"Bahamas, The",BHS,34863.7421
Bosnia and Herzegovina,BIH,6108.510696
Belarus,BLR,6663.295293
Belize,BLZ,4815.163711
Bermuda,BMU,117089.2863
Bolivia,BOL,3552.06876
Brazil,BRA,8717.186278
Barbados,BRB,18148.24493
Brunei Darussalam,BRN,31086.75112
Bhutan,BTN,3316.175714
Botswana,BWA,7961.325181
Central African Republic,CAF,467.9074406
Canada,CAN,46194.72523
Central Europe and the Baltics,CEB,16300.79207
Switzerland,CHE,81993.72713
Channel Islands,CHI,
Chile,CHL,14896.45387
China,CHN,10261.67925
Cote d'Ivoire,CIV,2276.333279
Cameroon,CMR,1507.450206
"Congo, Dem. Rep.",COD,580.7168672
"Congo, Rep.",COG,2279.969131
Colombia,COL,6428.676206
Comoros,COM,1370.148207
Cabo Verde,CPV,3603.781793
Costa Rica,CRI,12243.81143
Caribbean small states,CSS,10500.9719
Cuba,CUB,
Curacao,CUW,19689.13982
Cayman Islands,CYM,
Cyprus,CYP,27858.371
Czech Republic,CZE,23494.5962
Germany,DEU,46445.2491
Djibouti,DJI,3414.92487
Dominica,DMA,8110.568512
Denmark,DNK,60170.34264
Dominican Republic,DOM,8282.116359
Algeria,DZA,3973.964072
East Asia & Pacific (excluding high income),EAP,8222.276873
Early-demographic dividend,EAR,3644.014598
East Asia & Pacific,EAS,11530.13813
Europe & Central Asia (excluding high income),ECA,8133.260847
Europe & Central Asia,ECS,24744.14029
Ecuador,ECU,6183.823825
"Egypt, Arab Rep.",EGY,3019.205829
Euro area,EMU,38984.68599
Eritrea,ERI,
Spain,ESP,29600.37825
Estonia,EST,23723.30611
Ethiopia,ETH,855.7608623
European Union,EUU,34918.49837
Fragile and conflict affected situations,FCS,2228.255245
Finland,FIN,48782.78848
Fiji,FJI,6175.88872
France,FRA,40493.92857
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,
Gabon,GAB,7767.013404
United Kingdom,GBR,42330.11754
Georgia,GEO,4697.704576
Ghana,GHA,2202.115567
Gibraltar,GIB,
Guinea,GIN,962.8399086
"Gambia, The",GMB,777.8119321
Guinea-Bissau,GNB,697.2949269
Equatorial Guinea,GNQ,8131.923888
Greece,GRC,19582.53598
Grenada,GRD,10808.67212
Greenland,GRL,
Guatemala,GTM,4619.985258
Guam,GUM,
Guyana,GUY,6609.586425
High income,HIC,44617.47653
"Hong Kong SAR, China",HKG,48713.47375
Honduras,HND,2574.912191
Heavily indebted poor countries (HIPC),HPC,976.7418087
Croatia,HRV,14936.10055
Haiti,HTI,1272.490925
Hungary,HUN,16731.82151
IBRD only,IBD,6561.994287
IDA & IBRD total,IBT,5228.544142
IDA total,IDA,1388.828141
IDA blend,IDB,1765.663465
Indonesia,IDN,4135.569263
IDA only,IDX,1200.918607
Isle of Man,IMN,
India,IND,2099.599048
Not classified,INX,
Ireland,IRL,78660.95646
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,5955.10901
Iceland,ISL,66944.83308
Israel,ISR,43592.08358
Italy,ITA,33228.23668
Jamaica,JAM,5582.263778
Jordan,JOR,4405.488412
Japan,JPN,40246.88013
Kazakhstan,KAZ,9812.390376
Kenya,KEN,1816.546916
Kyrgyz Republic,KGZ,1309.392992
Cambodia,KHM,1643.121389
Kiribati,KIR,1655.078839
St. Kitts and Nevis,KNA,19934.97453
"Korea, Rep.",KOR,31846.21823
Kuwait,KWT,32000.44847
Latin America & Caribbean (excluding high income),LAC,8390.062921
Lao PDR,LAO,2534.89828
Lebanon,LBN,7583.694722
Liberia,LBR,621.8929536
Libya,LBY,7685.949267
St. Lucia,LCA,11611.41545
Latin America & Caribbean,LCN,8869.894814
Least developed countries: UN classification,LDC,1079.204614
Low income,LIC,810.0948534
Liechtenstein,LIE,
Sri Lanka,LKA,3853.083693
Lower middle income,LMC,2174.439797
Low & middle income,LMY,5080.877694
Lesotho,LSO,1118.131284
Late-demographic dividend,LTE,9999.48842
Lithuania,LTU,19601.89083
Luxembourg,LUX,114704.5942
Latvia,LVA,17828.89466
"Macao SAR, China",MAC,84096.39631
St. Martin (French part),MAF,
Morocco,MAR,3204.095003
Monaco,MCO,
Moldova,MDA,4503.516985
